,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
2598,0.739,0.896,-5.549,0.111,0.142,0.0,0.0614,0.854,124.011,2Cp5fKWX5eJ4TgU9IYFPxG,413707,Sister Sledge,Got to Love Somebody
2602,0.826,0.523,-4.874,0.138,0.0499,3.37e-06,0.227,0.956,110.074,7F6HKavyOObM7Sss9CNfAn,183933,Tuxedo,Special
2603,0.866,0.825,-4.994,0.0702,0.102,0.00104,0.0801,0.647,118.012,2sUKbuWG7ueFa93Sti3Svr,232039,Sam Padrul,Why Do I Do (La Felix Remix) [feat. Jason Gaffner]
2604,0.781,0.773,-5.546,0.0655,0.0105,0.00283,0.0255,0.707,125.995,68CcuhT8Z10NQvQ4GhAgdv,452884,Alex Newell,Kill The Lights (with Nile Rodgers) - Dimitri from Paris Remix
2605,0.699,0.708,-5.839,0.0611,0.0404,0.000315,0.0633,0.746,88.018,4bKGk0W6sPXa8QQE1DaU7Z,294545,Tuxedo,July
2606,0.805,0.823,-3.998,0.103,0.0229,1.31e-06,0.109,0.769,119.956,5mBTuBkH9Fz2ixeDElixFG,316655,The Swiss,Elouisa
2607,0.79,0.797,-5.376,0.0494,0.00484,2.94e-05,0.113,0.96,125.057,257ftWS6FQYbpJlZyZ1y89,200110,Martin Solveig,Jealousy (Radio Edit)
2608,0.872,0.75,-5.048,0.0996,0.29,9.37e-06,0.0735,0.873,119.003,6AC04d82tt0MHMMivnhYds,225982,Tuxedo,2nd Time Around
2609,0.78,0.881,-6.206,0.0595,0.00257,0.00053,0.301,0.679,121.058,7sRGp6wEDDnCX4F8177bEj,248227,Fundacion Tony Manero,Can't Nobody Love Me Like You Do
2610,0.732,0.871,-5.767,0.0432,0.0133,0.000101,0.28,0.85,115.457,44rNnw1KQnccgQw0f55aUW,269800,Fundacion Tony Manero,Rocket Racer
2611,0.703,0.845,-5.841,0.0279,0.000696,0.00818,0.134,0.643,122.459,2QfT2Ldobdm4moOXrRDePd,298093,Fundacion Tony Manero,Livin'For the City
2612,0.74,0.723,-6.632,0.0497,0.00139,0.00299,0.0393,0.771,125.058,0CYouiNRh2qpFSNekH9ZeO,315013,Fundacion Tony Manero,You Mum's a Beach
2613,0.859,0.665,-10.268,0.0818,0.3,0.00318,0.0649,0.947,116.909,1xq8r92Uq0suAzogj90F6P,227933,Glenn Jones,I Am Somebody
2614,0.775,0.856,-6.122,0.0437,0.0995,0.00229,0.068,0.66,104.742,3AaS76Tumildq0wUe953YA,275853,Orgone,Say Goodbye
2615,0.633,0.634,-12.115,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493,Stevie Wonder,Superstition - Single Version
2624,0.861,0.719,-6.821,0.0358,0.0268,0.207,0.2,0.913,120.011,3prALbX08q44eeGiiNjWjV,182920,Jean Tonique,Plage d'or
2625,0.797,0.696,-6.627,0.0956,0.00842,0.000263,0.103,0.557,126.989,57inMKXPMFF3wVnC2jW5BC,310204,Midnight Pool Party,Linger
2626,0.828,0.775,-7.297,0.0667,0.0216,1.51e-06,0.127,0.958,117.988,6YLqjuaeUE5Jr6mOsuHdAz,262060,Enois Scroggins,Old School Brother
2627,0.848,0.771,-4.329,0.0739,0.0595,0.0106,0.0164,0.889,127.584,5I6gnPXgWk9EpH23QIxxBh,222333,Dogg Master,Sleeping Single
2628,0.677,0.842,-6.718,0.148,0.0285,0.00505,0.515,0.702,107.097,4AavvgSRcHlfOjGxXwpFwQ,316558,Alissia,Let It Out
2629,0.732,0.839,-5.628,0.131,0.0383,8.35e-05,0.321,0.835,109.026,5T5I4gTXy8ISXkbQ54TADk,205214,Alissia,On the Go
2630,0.743,0.839,-5.305,0.127,0.000424,0.0127,0.315,0.785,118.057,47XWcg4I2rjD2vL5DoReR5,263641,Alissia,Get Down
2631,0.745,0.926,-5.474,0.0812,0.000549,0.0021,0.334,0.881,124.033,7ES8fcEHeX2htud1lQGzbw,199181,Alissia,Take Off
2632,0.74,0.668,-6.949,0.0347,0.00972,0.0303,0.0955,0.315,119.906,5REuwIjedlenNLWvFYdBi9,288400,Full Flava,Too Much Too Late
2633,0.822,0.689,-8.338,0.0363,0.0175,0.0,0.349,0.862,119.99,4mWbJiPRzFp60dlxRWtSKj,401560,Tortured Soul,Special Lady
2634,0.716,0.808,-6.904,0.0473,0.00765,0.00462,0.0756,0.961,125.011,0P7iti2eENyzPjWjvGaRzs,310413,Lorenz Rhode,Back
2635,0.756,0.763,-3.059,0.0661,0.0142,0.0,0.139,0.88,110.072,3nTo73fL8wSMSu69p2PUdq,181107,Jakubi,Bank Account
2636,0.757,0.866,-7.245,0.0691,0.0586,7.23e-06,0.174,0.923,112.758,0beNtjl66xhSU1YUx2Kf0Y,213133,Aurra,Keep Doing It Right
2637,0.768,0.905,-6.516,0.0981,0.0276,0.000285,0.0632,0.773,109.983,5PQeUJV2h1AvuhhPEiYlcM,281133,Incognito,Just Say Nothing
2638,0.758,0.829,-6.622,0.174,0.0486,1.6e-06,0.0317,0.824,122.298,1zaigPe4NB94tc4CRshK46,377093,Aretha Franklin,Get It Right
2639,0.827,0.859,-5.455,0.047,0.106,0.0,0.125,0.894,119.946,7xX2OJ1G1wZUmBcItyBlnK,225467,Carlos Jean,Kung Fu Fighting
2640,0.798,0.583,-8.246,0.0488,0.149,0.0,0.0996,0.634,106.061,2CeqfgVIkf4h6FWDHdeKL6,280933,Kashif,Help Yourself to My Love - Extended Version
2641,0.779,0.632,-6.185,0.0718,0.171,0.00964,0.0788,0.593,115.006,6Jr8IgJm7GFv8PXmJNtbVm,294845,Jody Watley,Nightlife - Classic Soul Remix
2642,0.804,0.845,-6.442,0.0808,0.0641,0.00909,0.0626,0.873,111.161,71im1WtJOsNTZ1AxaOHiqk,295063,The Haggis Horns,The Cockroach Grind (feat. Lucinda Slim)
2643,0.836,0.827,-7.608,0.0461,0.186,0.848,0.0237,0.93,111.977,2UCnlNredMUv69xZ6kVs1D,268458,The Haggis Horns,Way Of The Haggis
2644,0.813,0.728,-7.716,0.0528,0.322,0.000621,0.374,0.684,96.358,7KaloDUUkTZ2UjOipBBBGN,269307,James Brown,Papa Don't Take No Mess - Pt. 1
2645,0.7,0.727,-8.341,0.0737,0.00241,0.00131,0.0267,0.704,109.165,0vbbwEUSkZf3oA1dLlIoFL,261440,Jody Watley,Real Love
2646,0.843,0.46,-13.512,0.054,0.00891,0.00247,0.132,0.84,109.123,47HusOVsGPUcsJtMq40aRd,357812,The System,You Are in My System
2647,0.85,0.716,-7.585,0.0319,0.00737,0.00958,0.0611,0.736,113.771,6P28ijEvVb3md1QPSMFgxX,391853,"Evelyn ""Champagne"" King",Stop That
2648,0.765,0.765,-8.261,0.0358,0.0194,0.0,0.1,0.932,110.973,6LRAGgnBMPkhYDWn3s24yR,343240,Alexander O'Neal,What's Missing
2649,0.765,0.856,-5.84,0.0517,0.0666,0.0,0.055,0.909,109.839,4Te3jA0Z8xMrA4Oyr3sctn,209627,Jermaine Jackson,Let's Get Serious - Single Version
2658,0.7,0.692,-8.797,0.0439,0.00287,1.3e-05,0.0769,0.672,95.561,2IPNIRHZFtuqjf2KqVyaEN,246600,Al B. Sure!,Off on Your Own (Girl) - Remastered
2659,0.963,0.822,-6.642,0.106,0.475,0.0,0.17,0.908,118.499,38bP8r9yx49g6pdQ90NH1X,256493,Pebbles,Girlfriend - Single Version
2660,0.836,0.805,-8.808,0.042,0.113,0.00117,0.082,0.935,132.165,0XTGNBEQ1arvEZ6qJnLB6O,246627,Dazz Band,Let It Whip - Single Version
2661,0.707,0.589,-12.636,0.0885,0.27,2.75e-05,0.386,0.775,103.547,520fkoz7YAPnqZNvZ21UfP,522667,The Gap Band,I Don't Believe You Want To Get Up And Dance (Oops Up Side Your Head)
2662,0.875,0.644,-11.55,0.0378,0.0296,0.908,0.0696,0.762,117.561,4AaB8loejHKcwAQN0MT72B,381733,Ray Parker Jr.,Still in the Groove
2663,0.808,0.659,-8.811,0.131,0.0247,0.0509,0.442,0.799,110.849,7vRuEtSugCJVYRQtk1lXnJ,477067,First Choice,Love Thang
2667,0.782,0.822,-8.655,0.039,0.165,4.55e-05,0.0729,0.751,121.072,4P8OkE3ktQXiG1aKUWNax3,291507,Ed Motta,Daqui Pro Méier
2668,0.645,0.824,-7.979,0.106,0.0352,4.75e-05,0.0778,0.695,97.91,2c41tCp7YfFD1Id4BBNlV3,208773,"Jimmy ""Bo"" Horne",Let Me (Let Me Be Your Lover)
2672,0.887,0.49,-12.894,0.0953,0.207,6.53e-05,0.0765,0.899,114.519,0IY1lCYvxuGr7FV3KNo7Vz,313627,Kool & The Gang,Love Festival
2673,0.733,0.908,-4.31,0.0737,0.0354,6.06e-06,0.278,0.72,95.012,4HEfkaSreV1kwgoQqcB2xB,328359,Brian Culbertson,Get Ready
2674,0.755,0.709,-12.393,0.0336,0.0209,0.105,0.0339,0.969,124.062,0OmXNiWR8VZCsx2GfwpvCO,317933,Stargard,Wear It Out
2678,0.74,0.563,-11.05,0.027,0.0264,0.343,0.0442,0.888,111.057,5BB02hZy9iwG8XEgit7IKy,214013,Gene Dunlap,There's Talk - Remastered
2679,0.659,0.682,-9.725,0.0555,0.254,1.77e-05,0.0686,0.954,104.01,2EzE511iwy5L4zA6EogZLE,269333,Funkadelic,You'll Like it Too
2680,0.861,0.78,-4.537,0.128,0.121,3.47e-06,0.038,0.647,118.992,18tFTA0wO7xI2GqBTHo6PN,203037,Tuxedo,Back In Town
2681,0.791,0.679,-6.003,0.0582,0.00683,0.000239,0.318,0.83,119.99,6heLXVC9XPET2uyjBO1YPP,230428,A-P Connection,Weak
2682,0.831,0.573,-11.356,0.0598,0.0319,0.0737,0.246,0.657,114.239,4O5PSceKEPp12ipKdFe0ps,356467,The Whispers,Tonight
2683,0.857,0.484,-6.232,0.148,0.292,3.05e-06,0.112,0.748,107.434,5UY6RRNjZzJtQTiAHOSIID,222573,Ekkah,Last Chance to Dance
2684,0.812,0.726,-7.143,0.094,0.15,0.00405,0.0436,0.841,99.991,5cB5BzhDKw6w6sYyDh9kRj,322870,Nils Landgren Funk Unit,Nlfu Funk
2685,0.801,0.759,-5.564,0.149,0.258,2.39e-06,0.549,0.771,113.292,2kqyN2d94Ie8zxg8fAJZDA,444964,Curtis Hairston,I Want You (All Tonight) - JM After-Session M&M Mix
2686,0.902,0.551,-6.267,0.0703,0.15,1.95e-06,0.0459,0.776,114.258,2R0zbd80CqwoB0ORDCqDoK,235933,Carl Carlton,"She's A Bad Mama Jama (She's Built, She's Stacked) - Single Version"
2687,0.863,0.751,-10.72,0.055,0.0362,0.144,0.0925,0.866,116.786,3qV8jixwIWVbazKcW9JSnj,248067,Shalamar,Don't Try to Change Me
2688,0.675,0.935,-6.962,0.0362,0.122,0.453,0.355,0.701,111.017,7voVrfTqyfCdnjJZzkkB24,410320,Incognito,Echoes of Utopia
2689,0.689,0.379,-16.177,0.114,0.262,0.0,0.152,0.503,120.527,2z8BobcwXcYJiIUkVZcAgW,228000,Linx,You're Lying
2690,0.913,0.292,-16.416,0.0891,0.00365,0.00485,0.0445,0.891,120.017,26kBtkZT0CAFLn7J0mLkNa,318467,Gino Soccio,Hold Tight
2691,0.798,0.799,-8.763,0.0655,0.0895,6.91e-05,0.0346,0.957,111.056,3ewSIbELMHq6650r2eJS0P,239333,"Evelyn ""Champagne"" King",Your Personal Touch - Edited Version
2692,0.824,0.646,-11.556,0.134,0.0125,0.000582,0.119,0.708,123.725,3e1Ky0YseXxGBqxjyzbfyU,222232,Homegrown Syndrome,Confrontation
2693,0.755,0.824,-9.914,0.0743,0.157,2.01e-05,0.323,0.671,106.539,0jrhLbMQsRKtVoZ8Ocfq5D,216133,Freedom,Get Up and Dance
2697,0.765,0.817,-6.363,0.0337,0.0857,3.66e-06,0.17,0.947,117.92,19GxyWJkm55OFD03lMELE9,206773,Maurice White,Jamboree
2698,0.784,0.841,-5.692,0.0539,0.0267,0.000392,0.107,0.887,119.966,07znTNDB7ESmzll4nVxRki,202106,Cerrone,Take Over
2699,0.868,0.652,-6.148,0.0502,0.0266,7.25e-05,0.0925,0.779,110.979,0LuSBtCAZCm9Y42FgfcIYY,281938,Candy Dulfer,Show Ur ID
2700,0.909,0.666,-7.189,0.107,0.0361,0.00179,0.205,0.734,119.992,0XxsJxPcByLfVphUM2QzCw,281050,Candy Dulfer,How It's Done
2701,0.85,0.584,-9.76,0.0466,0.00111,0.0326,0.0585,0.94,125.002,2KvnWMKQ1EyRP6adCO0G3g,396827,Carrie Lucas,Dance With You
2705,0.688,0.828,-5.158,0.059,0.0465,6.19e-05,0.0584,0.922,116.766,3N4QOi5qtApU3kc69XjeZE,342627,Change,The Very Best In You - Full Length Album Mix
2706,0.774,0.888,-6.635,0.197,0.163,6.05e-06,0.296,0.843,104.907,3VlnoTTdnVIw8wALUhJdpx,295787,Candy Dulfer,My Funk
2710,0.829,0.726,-5.9,0.0583,0.163,6.2e-05,0.398,0.759,115.045,5hG8gvQ2d80Qoly4vfGOkH,277547,Busty and the Bass,Up Top
2711,0.803,0.794,-8.298,0.0433,0.217,0.00956,0.729,0.87,119.041,23K0dfI3omGH3rF2PGvgDZ,351853,Lakeside,Make My Day
2712,0.788,0.643,-8.125,0.107,0.162,0.0199,0.0721,0.922,116.404,6fDNNvdsZ9Z4oV8OSgLfuJ,322387,Geraldine Hunt feat. Freddie James & Rosalind aka Cheri,Can't Fake the Feeling
2716,0.88,0.395,-14.629,0.103,0.0187,3.24e-05,0.0571,0.854,117.16,2RCOWNCxDIphjhqTtkwtwR,220627,"Evelyn ""Champagne"" King",Love Come Down - Single Version
2717,0.918,0.459,-6.962,0.0427,0.079,0.0593,0.0532,0.962,113.818,4UQH52FfgGpzDShKDbBvEA,284507,Patrice Rushen,Forget Me Nots - Remastered
2721,0.706,0.701,-10.251,0.0288,0.192,5.25e-06,0.0737,0.961,112.805,4zGz2XJCpLqBNAmqYGaJw9,256773,Shalamar,I Can Make You Feel Good
2722,0.884,0.785,-12.445,0.0624,0.127,0.0035,0.066,0.7,117.209,4FIMducefjEEBwXPyaSyZP,383133,B.T. Express,Does It Feel Good
2723,0.757,0.757,-10.754,0.0556,0.0899,0.000139,0.228,0.871,116.38,5tz7veqJ2yW4zyqy26XoCd,280533,Aurra,In My Arms
2724,0.704,0.563,-9.211,0.0344,0.0591,1.4e-05,0.231,0.706,102.851,1QzCnfF0AxZ3veY9tOw0h7,384747,Luther Vandross,Better Love
2725,0.703,0.84,-9.805,0.0485,0.0333,0.000396,0.997,0.88,108.763,48ifRcXHbUjc1moUjJcwhx,319760,Cheryl Lynn,Encore
2726,0.88,0.703,-8.308,0.0802,0.0491,0.685,0.0582,0.948,127.952,1AAanCnoJF7USJKG9dEjey,405293,Patrice Rushen,Haven't You Heard
2727,0.492,0.836,-6.901,0.114,0.076,2.63e-05,0.218,0.754,204.038,55dj3BouiFkjojCPvG04uf,235733,Newtone,Conspiracy Of Grooves
2728,0.944,0.553,-7.187,0.0724,0.0682,5.26e-05,0.121,0.776,114.477,1DyjZB553roKl5Vg7ni4rc,283000,"Evelyn ""Champagne"" King",Get Loose
2729,0.719,0.623,-7.564,0.0353,0.000279,0.567,0.686,0.557,125.007,1Rji2sKlCxwfyxuk8N8FlX,493440,Michele Chiavarini,Let Me See You (Clap Your Hands)
2730,0.674,0.767,-7.268,0.0747,0.0804,0.000312,0.0788,0.772,109.8,0G1zO9cJ2Ud6SDDFzpWLAr,285933,The Salsoul Orchestra,Runaway
2734,0.855,0.37,-13.235,0.0379,0.00763,0.0103,0.0538,0.818,103.296,1MwJu1J5zw2ANaE3hg2Rrb,298027,Pleasure,Yearnin' Burnin'
2735,0.705,0.849,-6.979,0.109,0.0137,7.1e-05,0.109,0.742,110.627,7elbRtyXWkpL3DKGrClOjb,401133,Circle City Band,Magic
2736,0.844,0.534,-14.19,0.0418,0.0663,0.0807,0.0316,0.829,114.2,4lOK5WMOFjGlKe1yoOsGw2,312053,The Spinners,Right or Wrong
2737,0.673,0.481,-10.387,0.0548,0.0176,0.00458,0.0371,0.924,110.985,4Ew0C93HyyEIWKmldtqcnE,276787,Psychic Mirrors,Draw Me Your Favorite Funk
2738,0.642,0.521,-11.771,0.0417,0.137,0.375,0.151,0.925,121.938,2tTMoXavkBdOsjKGaKdzdm,410320,David Bendeth,Feel The Real
2739,0.831,0.607,-7.686,0.0644,0.131,7.96e-05,0.206,0.954,110.02,1uTtz4l9OKZOWXQXFBrZkJ,213747,Tuxedo,Shy
2740,0.77,0.723,-7.97,0.0324,0.39,0.00339,0.158,0.954,108.193,3et54TTavWHsLaflYnJOh6,211240,Kool & The Gang,"Hi Di Hi, Hi De Ho"
2741,0.91,0.65,-12.488,0.115,0.0757,0.000111,0.26,0.828,123.516,0O650EWdPQIGbfJJEGlnt3,242013,KC & The Sunshine Band,Party With Your Body
2742,0.835,0.751,-3.636,0.1,0.121,0.00153,0.0897,0.869,136.272,1LEI2F6lD3uEnGOkOPRlX8,211253,Cameo,Knights By Nights
2743,0.9,0.726,-5.041,0.0549,0.323,0.0,0.0842,0.878,110.009,6XSxQJgbqqNmOjiiHCVqM6,198893,Chromeo,Don't Sleep (feat. French Montana & Stefflon Don)
2744,0.76,0.822,-4.611,0.0573,0.0219,8.3e-06,0.297,0.732,119.929,0uQt5GZ8CyyvVsSQlaI9o6,293379,Brian Culbertson,Got to Give It Up
2748,0.729,0.54,-9.33,0.0606,0.189,0.000208,0.14,0.815,94.071,5iVxHPyHVO7vWSDnRpNH5d,314320,Keni Burke,Risin' to the Top
2749,0.703,0.914,-6.455,0.0755,0.0439,0.00123,0.161,0.843,108.993,3ZoLqDFPHCyq4jeIMHBODq,328480,Tower Of Power,Hangin' with My Baby
2750,0.732,0.81,-6.942,0.0426,0.0247,7.17e-05,0.0803,0.957,122.022,2pgN43fwLok9wh9kz3Mes1,222957,Smoove & Turrell,You're Gone
2751,0.556,0.808,-6.965,0.0335,0.166,0.000167,0.164,0.844,115.287,5Cr8DxrjyP2fS93XjGXlFl,266827,Blind Melon,Tones Of Home
2752,0.781,0.806,-6.852,0.0865,0.0576,0.000374,0.112,0.853,118.779,5UTNIhH5tpOM20KFx0y1ci,298400,Jackie Stoudemire,Flying High
2753,0.8,0.858,-5.318,0.0367,0.199,0.271,0.151,0.923,105.592,508i2fa2DAEchJjKbW3bb9,255093,Jay Soto,Make It Happen
2754,0.637,0.852,-2.559,0.0406,0.0201,0.000102,0.105,0.662,103.987,5XYLfeazJvy74KQKujqxjZ,207250,Jason Lee,Sax In The City
2755,0.523,0.641,-5.517,0.0609,0.664,0.0,0.104,0.347,109.373,6ZFprAjKsAFyh9gVgYRPkb,162947,Adrian Younge,Shine
2756,0.757,0.709,-10.054,0.0778,0.171,0.00177,0.65,0.885,119.918,09ivpvTXknB2OOB5U7I8PS,384640,The Emotions,I Don't Wanna Lose Your Love - DJ Reverend P Edit
2757,0.751,0.93,-2.619,0.0528,0.0224,0.000782,0.069,0.868,106.061,1RAoTgX7utbegR8hZWGthA,195072,Kat Graham,1991
2758,0.942,0.872,-6.713,0.0383,0.0683,0.0133,0.108,0.978,130.367,40FbUofNkwKnp74R0ohIZS,222933,Patrice Rushen,Look Up! - Remastered
2759,0.66,0.863,-6.996,0.0606,7.59e-05,0.842,0.206,0.769,129.944,6XBHv4SSNdf6Spz5cLo5Pw,260949,Marcus Anderson,Just Like Me
2760,0.837,0.635,-4.958,0.0705,0.167,2.93e-05,0.0807,0.802,119.002,0KAeRVyaAjF5fCFFqMwuYQ,205520,Cleopold,The Space Between
2761,0.736,0.798,-5.518,0.0666,0.0041,1.96e-06,0.259,0.592,115.004,6m2PPm7y2Qr4SdoCJENZfu,248870,GRiZ,Take It High
2762,0.7,0.865,-5.827,0.133,0.0136,7.71e-05,0.0718,0.78,128.043,47oS7xB31QQUyPCgHpM3VZ,331760,Jamiroquai,Canned Heat
2763,0.921,0.607,-6.047,0.216,0.0287,0.0297,0.0837,0.799,116.335,62CwLKItrExftm04nk4uh7,384813,Change,A Lover's Holiday - A Jim Burgess Mix
2764,0.911,0.513,-12.821,0.092,0.0346,0.000102,0.691,0.84,113.075,4aewub00ohDPZCOBY8YL24,149099,The Whispers,In The Raw
2765,0.715,0.855,-5.238,0.0309,0.209,0.0845,0.129,0.926,115.97,5pzmmAL0lQM0601a5AfO9w,191080,Billy Ocean,Stay the Night
2766,0.793,0.602,-6.981,0.0685,0.0611,0.0158,0.0494,0.885,121.769,4NaUUW572tb1mtelEkooKR,451307,Gary's Gang,Knock Me Out - Original Version
2767,0.912,0.42,-14.798,0.0507,0.117,0.000717,0.0424,0.9,108.53,3HOgUlwPDsh0kEFnbr5EL5,319227,Peter Brown,Dance with Me
2771,0.776,0.601,-9.335,0.0658,0.0192,0.00074,0.0366,0.898,109.976,3Kbh7QUQvNEBVNB7xzVZJM,251360,France Joli,Gonna Get Over You
2772,0.728,0.857,-8.167,0.0386,0.0136,0.644,0.108,0.798,105.0,69MYW5x1rCgAq7mCJZ53Ua,373112,Sister Sledge,Thinking of You - Dimitri from Paris Instrumental 2018 Remaster
2773,0.785,0.789,-4.662,0.0741,0.011,0.0181,0.0815,0.745,116.344,5dxQvTMvouuLy5PDfwzQaS,239203,The APX,Jupiter
2774,0.741,0.759,-8.13,0.0585,0.135,0.00153,0.0906,0.675,100.037,7vhDhAmEq006MsOYR6TW6Q,296285,Cornell C.C. Carter,That Feelin'
2775,0.756,0.91,-4.249,0.0552,0.135,0.0,0.209,0.751,115.036,5a1U5pXhjWknN8m5SuuJLo,239067,Kylie Auldist,Family Tree
2776,0.823,0.856,-4.094,0.0348,0.219,0.584,0.045,0.854,110.446,2vuei0LuERQt2s36EiwaCp,368800,Zapp,"A Touch of Jazz (Playin' Kinda Ruff, Pt. II)"
2777,0.707,0.921,-5.193,0.044,0.0141,0.0,0.0315,0.943,108.9,0oNHzCavacp41FJiGI6lHG,229333,Tower Of Power,Souled Out
2781,0.693,0.912,-5.954,0.0574,0.326,1.5e-06,0.647,0.95,91.006,1uKuUZwW5PrOKLWh4rhahc,281213,Andreas Aleman,Keep on Keepin' Funky
2782,0.881,0.547,-12.859,0.0402,0.0848,0.000441,0.149,0.944,128.631,7FBpLvbqHOOIdm8X8RfVGp,260467,Rene & Angela,Keep Runnin'
2783,0.815,0.713,-7.613,0.0535,0.537,6.54e-05,0.0762,0.905,110.714,4e5FFyhxjCtRyJkUbiJg9r,194947,Full,Betcha Wouldn't Hurt Me
2784,0.801,0.743,-6.426,0.0484,0.00503,0.374,0.0929,0.814,116.998,6jo2LzMs17y1uAeK8tpMWI,537436,Reel People,Can't Fake The Feeling - John Morales M+M Main Mix
2785,0.808,0.478,-10.081,0.0403,0.00158,0.081,0.0984,0.72,117.004,20TC3t0gvCZS3gGpEksjtm,460439,The Salsoul Orchestra,"Chicago Bus Stop (Ooh, I Love It) - DJ Spinna ReFreak"
2786,0.628,0.973,-1.694,0.0669,0.0812,0.154,0.313,0.882,107.858,1D7Cwc8FmwP2pLsTlQIeUB,188093,Nile Rodgers,Sober
2787,0.906,0.542,-6.978,0.191,0.00977,0.828,0.141,0.658,120.067,3NLOoiuDyju6JXJh6Hfc31,181464,Swindle,Purple Walls
2788,0.866,0.561,-7.786,0.0962,0.119,3.96e-05,0.0598,0.833,99.802,0b8VlPznfYXpM1LL5ExrxF,229008,Swindle,Sympathy (feat. Swindle)
2789,0.792,0.63,-8.184,0.0768,0.112,0.0248,0.102,0.954,121.903,6zwOWgENLbmgzJWbrZhRaB,289147,The Jones Girls,Keep It Comin'
2793,0.847,0.487,-12.124,0.064,0.0776,6.66e-05,0.342,0.898,110.966,3TFOWJpcPUaKmVfRXM3uoK,295240,The Manhattans,Crazy
2794,0.885,0.738,-5.528,0.0673,0.0483,0.000154,0.198,0.92,117.846,30xA9DhDaPPKH9eqfLKlGk,357880,Attitude,Love Me Tonight
2795,0.556,0.677,-9.164,0.33,0.178,0.0,0.118,0.602,110.938,61WYvit1FhZA7LkbBUq7cf,236727,Ric Wilson,"Hang Loose (feat. Chuck D, Sam Veren & Lucas G)"
2796,0.899,0.282,-11.251,0.126,0.0402,0.000135,0.185,0.734,117.967,7K1MaWCqRmFODlJJvnS3tF,291967,Dogg Master,Déja Vu - Original Version
2797,0.776,0.848,-7.853,0.045,0.0669,0.291,0.0554,0.911,126.853,6Wwia657k4Tsr8rnzrEel7,253213,Nile Rodgers,Beet
2798,0.779,0.75,-5.04,0.0973,0.0732,0.0,0.093,0.75,117.016,2tRV31fQ3Cuebci5JJp3R2,283560,Breakbot,Devotion (feat. Irfane)
2799,0.851,0.501,-8.431,0.0698,0.19,0.00185,0.0675,0.81,114.013,00JmwTtTDYwYqJC8Vm3i3u,286478,The Doggett Brothers,Get High
2800,0.878,0.774,-6.372,0.0836,0.0874,0.00347,0.233,0.906,128.213,6QBU4mYo0JvGSzbZbNGFSZ,293613,Philip Bailey,Your Boyfriend's Back
2801,0.921,0.374,-9.451,0.0652,0.00846,0.837,0.371,0.769,113.003,5LoBsMFF6hmzlH5gwOvppw,165554,McClenney,Untitled (Funk #2)
2802,0.764,0.699,-4.679,0.0787,0.0301,0.0,0.197,0.838,116.014,1XsF9zLsEkTj7OuSx57wU8,213760,THREE1989,Don’t miss it
2803,0.812,0.529,-9.99,0.119,0.000425,0.025,0.0599,0.616,103.885,3UXmJdZpiUcj4869CNhb3H,276893,CHIC,Something You Can Feel
2804,0.524,0.806,-5.338,0.36,0.0564,0.0,0.281,0.638,203.552,6iIeh1eHzKhd4FrXugSELl,237627,Earl St. Clair,Good Time
2805,0.762,0.773,-7.981,0.0391,0.1,0.0,0.0564,0.951,115.37,1WiA2OxkTRcfcBM0Ix3v3s,278187,Brick,Get Started
2806,0.733,0.732,-10.105,0.0759,0.0012,0.409,0.105,0.843,117.81,7ebWTl56uUqKQjbZ5TuAyJ,403827,Unlimited Touch,Good Loving
2810,0.765,0.945,-5.042,0.122,0.271,0.367,0.0893,0.814,118.242,03F2iKpYIwszZlIgi9p5SE,227160,Joan Bibiloni,The Boogie
2811,0.749,0.693,-12.512,0.0334,0.0104,0.00305,0.052,0.878,123.135,2v2CSefbmiwodHoh4OVx1k,236627,Gayle Adams,I Don't Wanna Hear It
2812,0.913,0.952,-5.016,0.0508,0.0348,0.582,0.0442,0.974,135.599,7zSiQkDUUvBqg78LWrkScN,230560,Patrice Rushen,Let the Music Take Me - Remastered Version
2813,0.922,0.498,-4.734,0.17,0.0396,0.00765,0.154,0.878,121.011,2YVm6jQkfIgGE0F2wnmwpf,240503,Mofak,Funky Party
2814,0.892,0.449,-8.046,0.0728,0.258,0.783,0.0783,0.776,112.991,2biiuJ8J4EALuBW0itCzPV,360084,Kisk,Funkin On
2815,0.796,0.901,-7.171,0.0363,0.152,0.763,0.0409,0.961,114.411,3vSgRQYNEUEjcFOGMiSTw3,408142,Patrice Rushen,"Number One - 12"" Version"
2816,0.869,0.731,-5.99,0.074,0.298,0.213,0.154,0.915,107.67,3ekTObzn7gP8UflxyxS4Up,247280,A Taste Of Honey,Sayonara
2820,0.825,0.712,-6.877,0.0502,0.103,8.86e-06,0.236,0.87,117.475,7jOeDXQvqfu2ZLp7lYwOy8,307947,The Reddings,Remote Control
2821,0.689,0.604,-9.01,0.0351,0.0136,3.84e-05,0.13,0.72,104.383,5YPIX0GlnaAxaJBFJydMT4,320280,Michael Wycoff,Looking Up to You
2825,0.799,0.8,-10.019,0.0596,0.247,9.77e-06,0.368,0.922,109.679,6J15g1ZMjZBpLzYFyddEuy,319800,B.T. Express,Have Some Fun
